КАРТА_ИД	ДАТУМ_ПРЕГЛЕДА	ВРЕМЕ_ПРЕГЛЕДА	РЕЗУЛТАТ_ПРЕГЛЕДА	НОВИ_ИНТЕРВАЛ
9ffd96f4a4e84af1b4820a0b0a4301d0	2020-02-09	09:37:41+0100	2	2
79eca18433d3429cbf7fc57259e0af32	2020-02-09	09:37:45+0100	2	2
79eca18433d3429cbf7fc57259e0af30	2020-02-09	09:37:47+0100	2	2
9ffd96f4a4e84af1b4820a0b0a4301d2	2020-02-09	09:37:49+0100	2	2
639b6cd1833746a59cdaff448c3c33a0	2020-02-09	09:37:52+0100	2	2
b593c06413f04b20b924ba221426e442	2020-02-09	09:37:54+0100	2	2
639b6cd1833746a59cdaff448c3c33a2	2020-02-09	09:37:56+0100	2	2
831929c7065e4485a20aa9678639f330	2020-02-09	09:37:59+0100	2	2
b593c06413f04b20b924ba221426e440	2020-02-09	09:38:01+0100	2	2
8815deee002249eb9deda9dc505d3890	2020-02-09	09:38:03+0100	2	2
8815deee002249eb9deda9dc505d3892	2020-02-09	09:38:05+0100	2	2
831929c7065e4485a20aa9678639f332	2020-02-09	09:38:11+0100	2	2
639b6cd1833746a59cdaff448c3c33a3	2020-02-09	09:38:15+0100	2	2
831929c7065e4485a20aa9678639f333	2020-02-09	09:38:18+0100	2	2
b593c06413f04b20b924ba221426e441	2020-02-09	09:38:20+0100	2	2
831929c7065e4485a20aa9678639f331	2020-02-09	09:38:25+0100	0	0
8815deee002249eb9deda9dc505d3893	2020-02-09	09:38:29+0100	2	2
9ffd96f4a4e84af1b4820a0b0a4301d3	2020-02-09	09:38:31+0100	2	2
8815deee002249eb9deda9dc505d3891	2020-02-09	09:38:35+0100	2	2
79eca18433d3429cbf7fc57259e0af31	2020-02-09	09:38:38+0100	2	2
639b6cd1833746a59cdaff448c3c33a1	2020-02-09	09:38:41+0100	2	2
79eca18433d3429cbf7fc57259e0af33	2020-02-09	09:38:46+0100	2	2
b593c06413f04b20b924ba221426e443	2020-02-09	09:38:49+0100	2	2
9ffd96f4a4e84af1b4820a0b0a4301d1	2020-02-09	09:38:51+0100	2	2
831929c7065e4485a20aa9678639f331	2020-02-09	10:02:00+0100	1	1
831929c7065e4485a20aa9678639f331	2020-02-11	13:01:21+0100	1	2
9ffd96f4a4e84af1b4820a0b0a4301d0	2020-02-19	11:33:25+0100	2	4
831929c7065e4485a20aa9678639f330	2020-02-19	11:33:28+0100	1	3
831929c7065e4485a20aa9678639f332	2020-02-19	11:33:31+0100	1	3
9ffd96f4a4e84af1b4820a0b0a4301d2	2020-02-19	11:33:33+0100	1	3
b593c06413f04b20b924ba221426e440	2020-02-19	11:33:35+0100	2	4
79eca18433d3429cbf7fc57259e0af30	2020-02-19	11:33:37+0100	2	4
639b6cd1833746a59cdaff448c3c33a0	2020-02-19	11:33:39+0100	2	4
8815deee002249eb9deda9dc505d3892	2020-02-19	11:33:41+0100	2	4
639b6cd1833746a59cdaff448c3c33a2	2020-02-19	11:33:44+0100	2	4
b593c06413f04b20b924ba221426e442	2020-02-19	11:33:46+0100	2	4
79eca18433d3429cbf7fc57259e0af32	2020-02-19	11:33:49+0100	1	3
8815deee002249eb9deda9dc505d3890	2020-02-19	11:33:50+0100	2	4
b593c06413f04b20b924ba221426e441	2020-02-19	11:33:53+0100	2	4
8815deee002249eb9deda9dc505d3893	2020-02-19	11:33:55+0100	2	4
639b6cd1833746a59cdaff448c3c33a3	2020-02-19	11:33:59+0100	0	2
9ffd96f4a4e84af1b4820a0b0a4301d1	2020-02-19	11:34:01+0100	2	4
831929c7065e4485a20aa9678639f331	2020-02-19	11:34:05+0100	1	3
